# pgid, mood
"3ifrxqr5ldke","Playful"
"3ifrxqr5ldke","Freewheeling"
"3ifrxqr5ldke","Energetic"
"3ifrxqr5ldke","Rousing"
"3ifrxqr5ldke","Rambunctious"
"3iftxqr5ldde","Sugary"
"3iftxqr5ldde","Gentle"
"3iftxqr5ldde","Cheerful"
"3iftxqr5ldde","Sentimental"
"3iftxqr5ldde","Romantic"
"3iftxqr5ldde","Laid-Back/ Mellow"
"3iftxqr5ldde","Earnest"
"3iftxqr5ldde","Innocent"
"3iftxqr5ldde","Amiable/ Good-Natured"
"3iftxqr5ldde","Sweet"
"3iftxqw5ldse","Raucous"
"3iftxqw5ldse","Sophisticated"
"3iftxqw5ldse","Rousing"
"3iftxqw5ldse","Exuberant"
"3iftxqw5ldse","Stylish"
"3iftxqw5ldse","Organic"
"3iftxqw5ldse","Brash"
"3iftxqw5ldse","Rollicking"
"3iftxqw5ldse","Passionate"
"3iftxqw5ldse","Freewheeling"
